timestamp,open,high,low,close,volume
1725622500000,1.11043,1.1106,1.1101,1.11054,606
1725622800000,1.11052,1.1109,1.1103,1.11075,767
1725623100000,1.1107,1.1109,1.1104,1.11065,760
1725623400000,1.11063,1.1108,1.1104,1.11066,692
1725623700000,1.11067,1.1109,1.1103,1.11067,731
1725624000000,1.11071,1.1108,1.1104,1.11062,747
1725624300000,1.11061,1.1108,1.11,1.11024,764
1725624600000,1.11023,1.1104,1.11,1.11032,762
1725624900000,1.11033,1.11044,1.11,1.11041,872
1725625200000,1.11034,1.1109,1.1103,1.11069,916
1725625500000,1.11069,1.11102,1.11024,1.11073,911
1725625800000,1.11078,1.11555,1.10774,1.11308,1620
1725626100000,1.11308,1.11467,1.11289,1.11369,1636
1725626400000,1.11361,1.11423,1.11315,1.11334,1456
1725626700000,1.11336,1.11361,1.11238,1.11309,1430
1725627000000,1.11317,1.1135,1.112,1.11229,1409
1725627300000,1.11212,1.11262,1.1116,1.11207,1412
1725627600000,1.112,1.11256,1.1114,1.11173,1379
1725627900000,1.11173,1.112,1.11059,1.11069,1372
1725628200000,1.1107,1.111,1.11021,1.11072,1305
1725628500000,1.11068,1.11084,1.1095,1.10974,1280
1725628800000,1.10971,1.11037,1.1093,1.11015,1288
1725629100000,1.11008,1.11013,1.1087,1.10951,1302
1725629400000,1.10957,1.11007,1.10913,1.1094,1166
1725629700000,1.10945,1.10976,1.10714,1.10763,1382
1725630000000,1.10767,1.10837,1.1073,1.10738,1317
1725630300000,1.10722,1.10738,1.10646,1.10664,1308
1725630600000,1.10667,1.1075,1.10665,1.10727,1251
1725630900000,1.10733,1.1084,1.10727,1.10835,1174
1725631200000,1.10834,1.1085,1.10773,1.10792,1165
1725631500000,1.10799,1.1081,1.1072,1.1077,1198
1725631800000,1.10771,1.10913,1.10769,1.10885,1265
1725632100000,1.10886,1.1091,1.1082,1.10903,1239
1725632400000,1.10904,1.10942,1.1084,1.10941,1249
1725632700000,1.10941,1.1097,1.1085,1.10871,1208
1725633000000,1.10876,1.10878,1.1081,1.10834,1262
1725633300000,1.10835,1.11041,1.10824,1.11036,1297
1725633600000,1.11043,1.11129,1.1102,1.11045,1193
1725633900000,1.11042,1.111,1.1102,1.11091,1205
1725634200000,1.11087,1.11093,1.11,1.11011,1301
1725634500000,1.11004,1.11036,1.1096,1.1101,1216
1725634800000,1.11014,1.11339,1.11002,1.11015,1019
1725635100000,1.11016,1.1102,1.1082,1.10855,862
1725635400000,1.10856,1.11201,1.10846,1.10967,796
1725635700000,1.10966,1.11204,1.1094,1.1099,734
1725636000000,1.10991,1.11256,1.10938,1.11025,760
1725636300000,1.11028,1.11082,1.1101,1.11055,731
1725636600000,1.11056,1.1106,1.10907,1.10951,791
1725636900000,1.10955,1.11269,1.1088,1.10911,739
1725637200000,1.10915,1.10959,1.1089,1.10912,664
1725637500000,1.10915,1.1093,1.10859,1.10922,944
1725637800000,1.10923,1.10938,1.1082,1.1085,1071
1725638100000,1.10851,1.1088,1.1082,1.10859,957
1725638400000,1.10857,1.1086,1.1076,1.108,1123
1725638700000,1.10807,1.10823,1.1076,1.10793,996
1725639000000,1.10795,1.10795,1.1074,1.10758,869
1725639300000,1.10758,1.1076,1.107,1.10711,949
1725639600000,1.1072,1.10744,1.107,1.10743,880
1725639900000,1.10741,1.108,1.1074,1.10782,941
1725640200000,1.10781,1.10812,1.1075,1.1077,941
1725640500000,1.10765,1.10796,1.1075,1.10783,876
1725640800000,1.10784,1.10792,1.107,1.10725,918
1725641100000,1.10726,1.10741,1.1069,1.10699,850
